"","Institution","Year","Month","use_of_force","inmate_count","uof_per_1000"
"158","PBSP",2010,"Aug",14,3263,4.29053018694453
"159","SAC",2010,"Aug",29,2903,9.98966586290045
"160","SVSP",2010,"Aug",28,3730,7.50670241286863
"161","CCI",2010,"Sep",20,5848,3.41997264021888
"162","COR",2010,"Sep",15,5109,2.93599530240752
"163","HDSP",2010,"Sep",39,4305,9.05923344947735
"164","KVSP",2010,"Sep",46,4581,10.0414756603362
"165","LAC",2010,"Sep",42,4484,9.36663693131133
"166","PBSP",2010,"Sep",13,3253,3.99631109744851
"167","SAC",2010,"Sep",33,2931,11.2589559877175
"168","SVSP",2010,"Sep",41,3770,10.8753315649867
"169","CCI",2010,"Oct",28,5816,4.81430536451169
"170","COR",2010,"Oct",23,5085,4.52310717797443
"171","HDSP",2010,"Oct",20,4275,4.67836257309941
"172","KVSP",2010,"Oct",36,4680,7.69230769230769
"173","LAC",2010,"Oct",38,4505,8.43507214206437
"174","PBSP",2010,"Oct",15,3225,4.65116279069767
"175","SAC",2010,"Oct",33,2948,11.1940298507463
"176","SVSP",2010,"Oct",54,3742,14.430785676109
"177","CCI",2010,"Nov",16,5753,2.78115765687467
"178","COR",2010,"Nov",16,4986,3.20898515844364
"179","HDSP",2010,"Nov",28,4249,6.58978583196046
"180","KVSP",2010,"Nov",38,4709,8.06965385432151
"181","LAC",2010,"Nov",25,4495,5.56173526140156
"182","PBSP",2010,"Nov",6,3247,1.84785956267324
"183","SAC",2010,"Nov",41,2916,14.0603566529492
"184","SVSP",2010,"Nov",47,3736,12.5802997858672
"185","CCI",2010,"Dec",26,5754,4.51859575947167
"186","COR",2010,"Dec",29,4996,5.80464371497198
"187","HDSP",2010,"Dec",28,4248,6.59133709981168
"188","KVSP",2010,"Dec",48,4671,10.2761721258831
"189","LAC",2010,"Dec",25,4498,5.55802578923966
"190","PBSP",2010,"Dec",15,3221,4.65693883886992
"191","SAC",2010,"Dec",22,2852,7.71388499298738
"192","SVSP",2010,"Dec",35,3778,9.2641609317099
"193","CCI",2011,"Jan",21,5661,3.70959194488606
"194","COR",2011,"Jan",20,4817,4.15196180195142
"195","HDSP",2011,"Jan",19,4176,4.54980842911877
"196","KVSP",2011,"Jan",33,4669,7.06789462411651
"197","LAC",2011,"Jan",36,4493,8.01246383262853
"198","PBSP",2011,"Jan",14,3222,4.34512725015518
"199","SAC",2011,"Jan",26,2810,9.25266903914591
"200","SVSP",2011,"Jan",71,3769,18.8378880339613
"201","CCI",2011,"Feb",19,5558,3.4184958618208
"202","COR",2011,"Feb",14,4656,3.00687285223368
"203","HDSP",2011,"Feb",27,4166,6.48103696591455
"204","KVSP",2011,"Feb",33,4664,7.07547169811321
"205","LAC",2011,"Feb",35,4374,8.00182898948331
"206","PBSP",2011,"Feb",7,3165,2.21169036334913
"207","SAC",2011,"Feb",31,2799,11.0753840657378
"208","SVSP",2011,"Feb",48,3764,12.7523910733262
"209","CCI",2011,"Mar",22,5546,3.96682293544897
"210","COR",2011,"Mar",23,4948,4.64834276475344
"211","HDSP",2011,"Mar",20,4133,4.8390999274135
"212","KVSP",2011,"Mar",35,4637,7.54798361009273
"213","LAC",2011,"Mar",36,4388,8.20419325432999
"214","PBSP",2011,"Mar",26,3182,8.17096165933375
"215","SAC",2011,"Mar",27,2771,9.74377481053771
"216","SVSP",2011,"Mar",53,3759,14.0994945464219
