Institution,Year,Month,Use of Force,Inmate Count,Rate
LAC,2012,Jul,39,3955,9.860935524652339
PBSP,2012,Jul,19,3153,6.026006977481764
SAC,2012,Jul,33,2684,12.295081967213115
SVSP,2012,Jul,40,3547,11.27713560755568
CCI,2012,Aug,15,4764,3.1486146095717884
COR,2012,Aug,33,4706,7.012324691882703
HDSP,2012,Aug,18,3684,4.885993485342019
KVSP,2012,Aug,48,4082,11.758941695247428
LAC,2012,Aug,28,3919,7.144679765246236
PBSP,2012,Aug,19,3139,6.052883083784645
SAC,2012,Aug,34,2654,12.81085154483798
SVSP,2012,Aug,37,3572,10.358342665173572
CCI,2012,Sep,25,4768,5.243288590604027
COR,2012,Sep,27,4729,5.709452315500106
HDSP,2012,Sep,12,3614,3.320420586607637
KVSP,2012,Sep,34,3977,8.549157656525018
LAC,2012,Sep,47,3891,12.079157029041378
PBSP,2012,Sep,18,3101,5.804579168010319
SAC,2012,Sep,36,2654,13.564431047475509
SVSP,2012,Sep,29,3509,8.264462809917356
CCI,2012,Oct,15,4676,3.20786997433704
COR,2012,Oct,28,4703,5.953646608547736
HDSP,2012,Oct,34,3531,9.629000283205892
KVSP,2012,Oct,24,3975,6.037735849056603
LAC,2012,Oct,30,3836,7.820646506777894
PBSP,2012,Oct,17,3071,5.535656138065777
SAC,2012,Oct,36,2572,13.996889580093312
SVSP,2012,Oct,33,3559,9.272267490868222
CCI,2012,Nov,14,4529,3.0911901081916535
COR,2012,Nov,25,4652,5.374032674118658
HDSP,2012,Nov,21,3512,5.979498861047836
KVSP,2012,Nov,30,3967,7.562389715149987
LAC,2012,Nov,37,3799,9.739405106607002
PBSP,2012,Nov,13,3032,4.2875989445910285
SAC,2012,Nov,29,2532,11.453396524486571
SVSP,2012,Nov,42,3621,11.599005799502901
CCI,2012,Dec,13,4508,2.883762200532387
COR,2012,Dec,11,4611,2.3855996530036867
HDSP,2012,Dec,17,3440,4.941860465116279
KVSP,2012,Dec,36,3870,9.30232558139535
LAC,2012,Dec,46,3750,12.266666666666667
PBSP,2012,Dec,20,2980,6.7114093959731544
SAC,2012,Dec,20,2557,7.821666014861166
SVSP,2012,Dec,31,3637,8.523508386032445
CCI,2013,Jan,18,4464,4.032258064516129
COR,2013,Jan,22,4581,4.802444881030342
HDSP,2013,Jan,22,3478,6.325474410580793
KVSP,2013,Jan,46,3792,12.130801687763713
LAC,2013,Jan,39,3718,10.48951048951049
PBSP,2013,Jan,25,2909,8.594018563080096
SAC,2013,Jan,34,2473,13.748483623129802
SVSP,2013,Jan,37,3592,10.300668151447661
CCI,2013,Feb,10,4555,2.1953896816684964
COR,2013,Feb,22,4496,4.893238434163701
HDSP,2013,Feb,17,3469,4.900547708273278
KVSP,2013,Feb,28,3775,7.417218543046357
LAC,2013,Feb,30,3804,7.886435331230284
PBSP,2013,Feb,10,2865,3.4904013961605584
SAC,2013,Feb,33,2391,13.801756587202007
SVSP,2013,Feb,39,3577,10.90299133351971
CCI,2013,Mar,14,4635,3.0204962243797193
COR,2013,Mar,24,4498,5.335704757670075
HDSP,2013,Mar,18,3453,5.212858384013901
KVSP,2013,Mar,37,3723,9.938221864088101
LAC,2013,Mar,46,3763,12.22428913101249
PBSP,2013,Mar,27,2858,9.447165850244927
SAC,2013,Mar,32,2324,13.769363166953529
SVSP,2013,Mar,54,3575,15.104895104895105
CCI,2013,Apr,15,4590,3.2679738562091503
COR,2013,Apr,25,4421,5.654829224157431
HDSP,2013,Apr,18,3360,5.357142857142857
KVSP,2013,Apr,33,3702,8.914100486223663
LAC,2013,Apr,35,3758,9.313464608834487
PBSP,2013,Apr,18,2872,6.267409470752089
SAC,2013,Apr,35,2240,15.625
SVSP,2013,Apr,40,3497,11.43837575064341
CCI,2013,May,14,4592,3.048780487804878
COR,2013,May,28,4394,6.372325898953117
HDSP,2013,May,20,3295,6.0698027314112295
KVSP,2013,May,32,3715,8.61372812920592
LAC,2013,May,48,3743,12.823938017632914
PBSP,2013,May,20,2860,6.993006993006993
SAC,2013,May,38,2202,17.257039055404178
SVSP,2013,May,45,3475,12.949640287769784
CCI,2013,Jun,12,4579,2.62065953264905
COR,2013,Jun,25,4423,5.652272213429799
HDSP,2013,Jun,21,3261,6.439742410303588
KVSP,2013,Jun,37,3685,10.040705563093622
LAC,2013,Jun,24,3679,6.523511823865181
PBSP,2013,Jun,18,2831,6.358177322500883
SAC,2013,Jun,35,2181,16.047684548372306
SVSP,2013,Jun,49,3487,14.052193862919415
CCI,2013,Jul,17,4568,3.7215411558669
COR,2013,Jul,23,4268,5.3889409559512655
HDSP,2013,Jul,29,3287,8.822634621235169
KVSP,2013,Jul,42,3698,11.357490535424553
LAC,2013,Jul,38,3623,10.488545404361027
PBSP,2013,Jul,20,2820,7.092198581560283
SAC,2013,Jul,31,2237,13.857845328565043
SVSP,2013,Jul,58,3527,16.444570456478594
CCI,2013,Aug,24,4704,5.1020408163265305
COR,2013,Aug,33,4342,7.600184246890834
HDSP,2013,Aug,25,3305,7.564296520423601
KVSP,2013,Aug,41,3725,11.006711409395972
LAC,2013,Aug,53,3659,14.48483192128997
PBSP,2013,Aug,14,2694,5.1967334818114335
SAC,2013,Aug,27,2165,12.471131639722863
SVSP,2013,Aug,43,3520,12.215909090909092
CCI,2013,Sep,16,4731,3.3819488480236735
COR,2013,Sep,21,4380,4.794520547945206
HDSP,2013,Sep,10,3334,2.999400119976005
KVSP,2013,Sep,34,3711,9.161950956615467
LAC,2013,Sep,24,3716,6.458557588805167
PBSP,2013,Sep,18,2716,6.627393225331369
SAC,2013,Sep,33,2097,15.736766809728183
SVSP,2013,Sep,29,3522,8.233957978421351
CCI,2013,Oct,15,4597,3.262997607135088
COR,2013,Oct,30,4409,6.804264005443411
HDSP,2013,Oct,14,3384,4.137115839243498
KVSP,2013,Oct,27,3719,7.260016133369184
LAC,2013,Oct,27,3790,7.12401055408971
PBSP,2013,Oct,16,2669,5.994754589733983
SAC,2013,Oct,28,2104,13.307984790874524
SVSP,2013,Oct,41,3473,11.805355600345523
CCI,2013,Nov,9,4433,2.0302278366794497
COR,2013,Nov,25,4357,5.737893045673629
HDSP,2013,Nov,24,3314,7.24200362100181
KVSP,2013,Nov,17,3753,4.529709565680789
LAC,2013,Nov,40,3725,10.738255033557046
PBSP,2013,Nov,10,2663,3.755163349605708
SAC,2013,Nov,21,2182,9.624197983501375
SVSP,2013,Nov,36,3417,10.535557506584723
CCI,2013,Dec,20,4419,4.525910839556461
COR,2013,Dec,29,4353,6.66207213416035
HDSP,2013,Dec,14,3366,4.159239453357101
KVSP,2013,Dec,32,3741,8.55386260358193
LAC,2013,Dec,33,3697,8.926156342980796
PBSP,2013,Dec,6,2659,2.2564874012786764
SAC,2013,Dec,34,2202,15.44050862851953
SVSP,2013,Dec,35,3377,10.36422860527095
CAC,2014,Jan,3,625,4.8
CCI,2014,Jan,17,4407,3.8574994327206715
COR,2014,Jan,25,4371,5.719514985129261
HDSP,2014,Jan,30,3383,8.867868755542418
KVSP,2014,Jan,29,3682,7.876154263986964
LAC,2014,Jan,35,3692,9.479956663055255
PBSP,2014,Jan,10,2701,3.702332469455757
SAC,2014,Jan,47,2184,21.52014652014652
SVSP,2014,Jan,27,3388,7.969303423848879
CAC,2014,Feb,1,838,1.1933174224343677
CCI,2014,Feb,15,4361,3.43957807842238
COR,2014,Feb,21,4371,4.80439258750858
HDSP,2014,Feb,24,3436,6.984866123399302
KVSP,2014,Feb,26,3749,6.935182715390771
LAC,2014,Feb,32,3669,8.72172254020169
PBSP,2014,Feb,9,2717,3.312476996687523
SAC,2014,Feb,35,2210,15.837104072398189
SVSP,2014,Feb,31,3312,9.359903381642512
CAC,2014,Mar,5,1429,3.4989503149055285
CCI,2014,Mar,21,4359,4.817618719889883
COR,2014,Mar,32,4305,7.4332171893147505
HDSP,2014,Mar,28,3390,8.259587020648967
KVSP,2014,Mar,39,3775,10.33112582781457
LAC,2014,Mar,30,3599,8.335648791330925
PBSP,2014,Mar,3,2754,1.0893246187363836
SAC,2014,Mar,34,2189,15.532206486980357
SVSP,2014,Mar,43,3354,12.82051282051282
CAC,2014,Apr,3,1705,1.7595307917888563
CCI,2014,Apr,10,4403,2.271178741766977
COR,2014,Apr,25,4339,5.7616962433740495
HDSP,2014,Apr,10,3318,3.0138637733574445
KVSP,2014,Apr,27,3792,7.120253164556962
LAC,2014,Apr,38,3572,10.638297872340425
PBSP,2014,Apr,10,2768,3.61271676300578
SAC,2014,Apr,26,2253,11.54016866400355
SVSP,2014,Apr,37,3358,11.0184633710542
CAC,2014,May,2,1738,1.1507479861910241
CCI,2014,May,17,4420,3.8461538461538463
COR,2014,May,25,4352,5.744485294117648
HDSP,2014,May,28,3313,8.451554482342287
KVSP,2014,May,32,3855,8.300907911802854
LAC,2014,May,41,3562,11.510387422796182
PBSP,2014,May,11,2789,3.9440659734671923
SAC,2014,May,44,2247,19.58166444147753
SVSP,2014,May,44,3352,13.126491646778042
CAC,2014,Jun,0,2194,0.0
CCI,2014,Jun,13,4395,2.9579067121729237
COR,2014,Jun,24,4287,5.598320503848845
HDSP,2014,Jun,28,3307,8.4668884185062
KVSP,2014,Jun,19,3847,4.938913439043411
LAC,2014,Jun,39,3560,10.955056179775282
PBSP,2014,Jun,13,2821,4.608294930875576
SAC,2014,Jun,32,2262,14.146772767462421
SVSP,2014,Jun,42,3357,12.511170688114388
CAC,2014,Jul,3,2253,1.3315579227696406
CCI,2014,Jul,15,4408,3.4029038112522687
COR,2014,Jul,20,4335,4.61361014994233
HDSP,2014,Jul,20,3343,5.982650314089142
KVSP,2014,Jul,24,3835,6.258148631029987
LAC,2014,Jul,37,3607,10.257831993346272
PBSP,2014,Jul,8,2821,2.835873803615739
SAC,2014,Jul,61,2231,27.34199910354101
SVSP,2014,Jul,24,3367,7.128007128007128
CAC,2014,Aug,4,2269,1.762891141472014
CCI,2014,Aug,18,4482,4.016064257028112
COR,2014,Aug,29,4314,6.722299490032452
HDSP,2014,Aug,22,3437,6.400931044515566
KVSP,2014,Aug,31,3811,8.134347940173182
LAC,2014,Aug,44,3593,12.24603395491233
PBSP,2014,Aug,9,2857,3.150157507875394
SAC,2014,Aug,52,2216,23.465703971119133
SVSP,2014,Aug,41,3457,11.859994214636968
CAC,2014,Sep,2,2250,0.888888888888889
CCI,2014,Sep,17,4482,3.7929495760821066
COR,2014,Sep,32,4375,7.314285714285714
HDSP,2014,Sep,22,3474,6.332757628094416
KVSP,2014,Sep,28,3835,7.301173402868318
LAC,2014,Sep,19,3582,5.30429927414852
PBSP,2014,Sep,5,2830,1.7667844522968197
SAC,2014,Sep,53,2211,23.97105382180009
SVSP,2014,Sep,41,3500,11.714285714285714
CAC,2014,Oct,3,2226,1.3477088948787064
CCI,2014,Oct,7,4398,1.5916325602546613
COR,2014,Oct,30,4381,6.847751654873316
HDSP,2014,Oct,20,3542,5.64652738565782
KVSP,2014,Oct,27,3835,7.040417209908735
