Institution,Year,Month,Use of Force,Inmate Count
LAC,2012,Sep,47,3891
PBSP,2012,Sep,18,3101
SAC,2012,Sep,36,2654
SATF,2012,Sep,14,5577
SVSP,2012,Sep,29,3509
CCI,2012,Oct,15,4676
COR,2012,Oct,28,4703
HDSP,2012,Oct,34,3531
KVSP,2012,Oct,24,3975
LAC,2012,Oct,30,3836
PBSP,2012,Oct,17,3071
SAC,2012,Oct,36,2572
SATF,2012,Oct,9,5679
SVSP,2012,Oct,33,3559
CCI,2012,Nov,14,4529
COR,2012,Nov,25,4652
HDSP,2012,Nov,21,3512
KVSP,2012,Nov,30,3967
LAC,2012,Nov,37,3799
PBSP,2012,Nov,13,3032
SAC,2012,Nov,29,2532
SATF,2012,Nov,20,5740
SVSP,2012,Nov,42,3621
CCI,2012,Dec,13,4508
COR,2012,Dec,11,4611
HDSP,2012,Dec,17,3440
KVSP,2012,Dec,36,3870
LAC,2012,Dec,46,3750
PBSP,2012,Dec,20,2980
SAC,2012,Dec,20,2557
SATF,2012,Dec,18,5738
SVSP,2012,Dec,31,3637
CCI,2013,Jan,18,4464
COR,2013,Jan,22,4581
HDSP,2013,Jan,22,3478
KVSP,2013,Jan,46,3792
LAC,2013,Jan,39,3718
PBSP,2013,Jan,25,2909
SAC,2013,Jan,34,2473
SATF,2013,Jan,17,5682
SVSP,2013,Jan,37,3592
CCI,2013,Feb,10,4555
COR,2013,Feb,22,4496
HDSP,2013,Feb,17,3469
KVSP,2013,Feb,28,3775
LAC,2013,Feb,30,3804
PBSP,2013,Feb,10,2865
SAC,2013,Feb,33,2391
SATF,2013,Feb,19,5598
SVSP,2013,Feb,39,3577
CCI,2013,Mar,14,4635
COR,2013,Mar,24,4498
HDSP,2013,Mar,18,3453
KVSP,2013,Mar,37,3723
LAC,2013,Mar,46,3763
PBSP,2013,Mar,27,2858
SAC,2013,Mar,32,2324
SATF,2013,Mar,19,5590
SVSP,2013,Mar,54,3575
CCI,2013,Apr,15,4590
COR,2013,Apr,25,4421
HDSP,2013,Apr,18,3360
KVSP,2013,Apr,33,3702
LAC,2013,Apr,35,3758
PBSP,2013,Apr,18,2872
SAC,2013,Apr,35,2240
SATF,2013,Apr,17,5517
SVSP,2013,Apr,40,3497
CCI,2013,May,14,4592
COR,2013,May,28,4394
HDSP,2013,May,20,3295
KVSP,2013,May,32,3715
LAC,2013,May,48,3743
PBSP,2013,May,20,2860
SAC,2013,May,38,2202
SATF,2013,May,14,5542
SVSP,2013,May,45,3475
CCI,2013,Jun,12,4579
COR,2013,Jun,25,4423
