,Institution,Year,Month,Use of Force
299,ISP,2018,Feb,8
300,KVSP,2018,Feb,42
301,LAC,2018,Feb,45
302,MCSP,2018,Feb,17
303,NKSP,2018,Feb,12
304,PBSP,2018,Feb,15
305,PVSP,2018,Feb,8
306,RJD,2018,Feb,27
307,SAC,2018,Feb,40
308,SATF,2018,Feb,16
309,SCC,2018,Feb,4
310,SOL,2018,Feb,10
311,SQ,2018,Feb,17
312,SVSP,2018,Feb,47
313,VSPW,2018,Feb,2
314,WSP,2018,Feb,7
315,ASP,2019,Feb,2
316,CAC,2019,Feb,4
317,CAL,2019,Feb,20
318,CCC,2019,Feb,7
319,CCI,2019,Feb,33
320,CCWF,2019,Feb,18
321,CEN,2019,Feb,11
322,CHCF,2019,Feb,20
323,CIM,2019,Feb,5
324,CIW,2019,Feb,5
325,CMC,2019,Feb,9
326,CMF,2019,Feb,19
327,COR,2019,Feb,59
328,CRC,2019,Feb,5
329,CTF,2019,Feb,3
330,CVSP,2019,Feb,4
331,DVI,2019,Feb,16
332,FSP,2019,Feb,13
333,HDSP,2019,Feb,23
334,ISP,2019,Feb,6
335,KVSP,2019,Feb,59
336,LAC,2019,Feb,33
337,MCSP,2019,Feb,24
338,NKSP,2019,Feb,14
339,PBSP,2019,Feb,15
340,PVSP,2019,Feb,11
341,RJD,2019,Feb,17
342,SAC,2019,Feb,38
343,SATF,2019,Feb,19
344,SCC,2019,Feb,8
345,SOL,2019,Feb,12
346,SQ,2019,Feb,6
347,SVSP,2019,Feb,52
348,VSPW,2019,Feb,4
349,WSP,2019,Feb,14
350,ASP,2015,Mar,3
351,CAC,2015,Mar,2
352,CAL,2015,Mar,22
353,CCC,2015,Mar,11
354,CCI,2015,Mar,13
355,CCWF,2015,Mar,11
356,CEN,2015,Mar,11
357,CHCF,2015,Mar,18
358,CIM,2015,Mar,9
359,CIW,2015,Mar,8
360,CMC,2015,Mar,10
361,CMF,2015,Mar,6
362,COR,2015,Mar,26
363,CRC,2015,Mar,9
364,CTF,2015,Mar,6
365,CVSP,2015,Mar,4
366,DVI,2015,Mar,12
367,FSP,2015,Mar,5
368,HDSP,2015,Mar,28
369,ISP,2015,Mar,7
370,KVSP,2015,Mar,21
371,LAC,2015,Mar,37
372,MCSP,2015,Mar,23
373,NKSP,2015,Mar,18
374,PBSP,2015,Mar,6
375,PVSP,2015,Mar,11
376,RJD,2015,Mar,19
377,SAC,2015,Mar,57
378,SATF,2015,Mar,14
379,SCC,2015,Mar,7
380,SOL,2015,Mar,15
381,SQ,2015,Mar,3
382,SVSP,2015,Mar,39
383,VSPW,2015,Mar,3
384,WSP,2015,Mar,22
385,ASP,2016,Mar,6
386,CAC,2016,Mar,1
387,CAL,2016,Mar,18
388,CCC,2016,Mar,5
389,CCI,2016,Mar,14
390,CCWF,2016,Mar,9
391,CEN,2016,Mar,6
392,CHCF,2016,Mar,23
393,CIM,2016,Mar,4
394,CIW,2016,Mar,13
395,CMC,2016,Mar,9
396,CMF,2016,Mar,9
397,COR,2016,Mar,33
398,CRC,2016,Mar,3
399,CTF,2016,Mar,6
400,CVSP,2016,Mar,2
401,DVI,2016,Mar,9
402,FSP,2016,Mar,1
403,HDSP,2016,Mar,23
404,ISP,2016,Mar,9
405,KVSP,2016,Mar,36
406,LAC,2016,Mar,30
407,MCSP,2016,Mar,21
408,NKSP,2016,Mar,17
409,PBSP,2016,Mar,7
410,PVSP,2016,Mar,6
411,RJD,2016,Mar,26
412,SAC,2016,Mar,51
413,SATF,2016,Mar,21
414,SCC,2016,Mar,9
415,SOL,2016,Mar,9
416,SQ,2016,Mar,12
417,SVSP,2016,Mar,42
418,VSPW,2016,Mar,2
419,WSP,2016,Mar,25
420,ASP,2017,Mar,2
421,CAC,2017,Mar,2
422,CAL,2017,Mar,18
423,CCC,2017,Mar,9
424,CCI,2017,Mar,35
425,CCWF,2017,Mar,22
426,CEN,2017,Mar,17
427,CHCF,2017,Mar,20
428,CIM,2017,Mar,11
429,CIW,2017,Mar,11
430,CMC,2017,Mar,7
431,CMF,2017,Mar,32
432,COR,2017,Mar,42
433,CRC,2017,Mar,2
434,CTF,2017,Mar,4
435,CVSP,2017,Mar,1
436,DVI,2017,Mar,9
437,FSP,2017,Mar,5
438,HDSP,2017,Mar,13
439,ISP,2017,Mar,6
440,KVSP,2017,Mar,37
441,LAC,2017,Mar,48
442,MCSP,2017,Mar,25
443,NKSP,2017,Mar,12
444,PBSP,2017,Mar,9
445,PVSP,2017,Mar,10
446,RJD,2017,Mar,13
447,SAC,2017,Mar,31
448,SATF,2017,Mar,22
449,SCC,2017,Mar,2
450,SOL,2017,Mar,10
451,SQ,2017,Mar,10
452,SVSP,2017,Mar,34
453,VSPW,2017,Mar,0
454,WSP,2017,Mar,13
455,ASP,2018,Mar,3
456,CAC,2018,Mar,1
457,CAL,2018,Mar,16
458,CCC,2018,Mar,5
459,CCI,2018,Mar,28
460,CCWF,2018,Mar,20
461,CEN,2018,Mar,12
462,CHCF,2018,Mar,40
463,CIM,2018,Mar,5
464,CIW,2018,Mar,11
465,CMC,2018,Mar,14
466,CMF,2018,Mar,14
467,COR,2018,Mar,55
468,CRC,2018,Mar,1
469,CTF,2018,Mar,2
470,CVSP,2018,Mar,0
471,DVI,2018,Mar,11
472,FSP,2018,Mar,7
473,HDSP,2018,Mar,23
474,ISP,2018,Mar,8
475,KVSP,2018,Mar,51
476,LAC,2018,Mar,41
477,MCSP,2018,Mar,29
478,NKSP,2018,Mar,9
479,PBSP,2018,Mar,12
480,PVSP,2018,Mar,15
481,RJD,2018,Mar,35
482,SAC,2018,Mar,47
483,SATF,2018,Mar,22
484,SCC,2018,Mar,2
485,SOL,2018,Mar,7
486,SQ,2018,Mar,11
487,SVSP,2018,Mar,59
488,VSPW,2018,Mar,1
489,WSP,2018,Mar,17
490,ASP,2019,Mar,9
491,CAC,2019,Mar,4
492,CAL,2019,Mar,21
493,CCC,2019,Mar,12
494,CCI,2019,Mar,38
495,CCWF,2019,Mar,38
496,CEN,2019,Mar,14
497,CHCF,2019,Mar,28
498,CIM,2019,Mar,2
499,CIW,2019,Mar,7
500,CMC,2019,Mar,12
501,CMF,2019,Mar,13
502,COR,2019,Mar,61
503,CRC,2019,Mar,9
504,CTF,2019,Mar,7
505,CVSP,2019,Mar,5
506,DVI,2019,Mar,11
507,FSP,2019,Mar,17
508,HDSP,2019,Mar,24
509,ISP,2019,Mar,11
510,KVSP,2019,Mar,58
511,LAC,2019,Mar,46
512,MCSP,2019,Mar,28
513,NKSP,2019,Mar,17
514,PBSP,2019,Mar,14
515,PVSP,2019,Mar,8
516,RJD,2019,Mar,17
517,SAC,2019,Mar,46
518,SATF,2019,Mar,18
519,SCC,2019,Mar,14
520,SOL,2019,Mar,10
521,SQ,2019,Mar,7
522,SVSP,2019,Mar,53
523,VSPW,2019,Mar,7
524,WSP,2019,Mar,29
525,ASP,2015,Apr,4
526,CAC,2015,Apr,6
527,CAL,2015,Apr,12
528,CCC,2015,Apr,16
529,CCI,2015,Apr,5
530,CCWF,2015,Apr,10
531,CEN,2015,Apr,9
532,CHCF,2015,Apr,22
533,CIM,2015,Apr,6
534,CIW,2015,Apr,14
535,CMC,2015,Apr,5
536,CMF,2015,Apr,10
537,COR,2015,Apr,29
538,CRC,2015,Apr,4
539,CTF,2015,Apr,1
540,CVSP,2015,Apr,3
541,DVI,2015,Apr,9
542,FSP,2015,Apr,7
543,HDSP,2015,Apr,15
544,ISP,2015,Apr,7
545,KVSP,2015,Apr,27
546,LAC,2015,Apr,31
547,MCSP,2015,Apr,24
548,NKSP,2015,Apr,22
549,PBSP,2015,Apr,8
550,PVSP,2015,Apr,8
551,RJD,2015,Apr,8
552,SAC,2015,Apr,38
553,SATF,2015,Apr,17
554,SCC,2015,Apr,7
555,SOL,2015,Apr,14
556,SQ,2015,Apr,12
557,SVSP,2015,Apr,41
558,VSPW,2015,Apr,1
559,WSP,2015,Apr,11
560,ASP,2016,Apr,5
561,CAC,2016,Apr,1
562,CAL,2016,Apr,17
563,CCC,2016,Apr,11
564,CCI,2016,Apr,20
565,CCWF,2016,Apr,15
566,CEN,2016,Apr,5
567,CHCF,2016,Apr,25
568,CIM,2016,Apr,3
569,CIW,2016,Apr,8
570,CMC,2016,Apr,13
571,CMF,2016,Apr,12
572,COR,2016,Apr,35
573,CRC,2016,Apr,6
574,CTF,2016,Apr,2
575,CVSP,2016,Apr,3
576,DVI,2016,Apr,4
577,FSP,2016,Apr,3
578,HDSP,2016,Apr,29
579,ISP,2016,Apr,8
580,KVSP,2016,Apr,31
581,LAC,2016,Apr,41
582,MCSP,2016,Apr,20
583,NKSP,2016,Apr,26
584,PBSP,2016,Apr,13
585,PVSP,2016,Apr,11
586,RJD,2016,Apr,29
587,SAC,2016,Apr,41
588,SATF,2016,Apr,12
589,SCC,2016,Apr,8
590,SOL,2016,Apr,7
