Institution,Year,Month,Use of Force
VSPW,2015,Nov,1
WSP,2015,Nov,14
ASP,2016,Nov,1
CAC,2016,Nov,0
CAL,2016,Nov,24
CCC,2016,Nov,8
CCI,2016,Nov,20
CCWF,2016,Nov,17
CEN,2016,Nov,10
CHCF,2016,Nov,31
CIM,2016,Nov,5
CIW,2016,Nov,10
CMC,2016,Nov,19
CMF,2016,Nov,12
COR,2016,Nov,25
CRC,2016,Nov,8
CTF,2016,Nov,0
CVSP,2016,Nov,1
DVI,2016,Nov,6
FSP,2016,Nov,2
HDSP,2016,Nov,14
ISP,2016,Nov,6
KVSP,2016,Nov,52
LAC,2016,Nov,37
MCSP,2016,Nov,18
NKSP,2016,Nov,15
PBSP,2016,Nov,11
PVSP,2016,Nov,11
RJD,2016,Nov,24
SAC,2016,Nov,35
SATF,2016,Nov,10
SCC,2016,Nov,2
SOL,2016,Nov,5
SQ,2016,Nov,17
SVSP,2016,Nov,45
VSPW,2016,Nov,2
WSP,2016,Nov,15
ASP,2017,Nov,1
CAC,2017,Nov,0
CAL,2017,Nov,22
CCC,2017,Nov,7
CCI,2017,Nov,24
CCWF,2017,Nov,25
CEN,2017,Nov,12
CHCF,2017,Nov,23
CIM,2017,Nov,2
CIW,2017,Nov,9
CMC,2017,Nov,16
CMF,2017,Nov,19
COR,2017,Nov,30
CRC,2017,Nov,3
CTF,2017,Nov,5
CVSP,2017,Nov,0
DVI,2017,Nov,13
FSP,2017,Nov,4
HDSP,2017,Nov,32
ISP,2017,Nov,7
KVSP,2017,Nov,36
LAC,2017,Nov,39
MCSP,2017,Nov,23
NKSP,2017,Nov,8
PBSP,2017,Nov,8
PVSP,2017,Nov,7
RJD,2017,Nov,19
SAC,2017,Nov,50
SATF,2017,Nov,14
SCC,2017,Nov,4
SOL,2017,Nov,7
SQ,2017,Nov,16
SVSP,2017,Nov,44
VSPW,2017,Nov,4
WSP,2017,Nov,21
ASP,2018,Nov,7
CAC,2018,Nov,2
CAL,2018,Nov,21
CCC,2018,Nov,6
CCI,2018,Nov,40
CCWF,2018,Nov,16
CEN,2018,Nov,16
CHCF,2018,Nov,31
CIM,2018,Nov,4
CIW,2018,Nov,10
CMC,2018,Nov,15
CMF,2018,Nov,14
COR,2018,Nov,42
CRC,2018,Nov,4
CTF,2018,Nov,4
CVSP,2018,Nov,3
DVI,2018,Nov,9
FSP,2018,Nov,12
HDSP,2018,Nov,28
ISP,2018,Nov,7
KVSP,2018,Nov,58
LAC,2018,Nov,48
MCSP,2018,Nov,27
NKSP,2018,Nov,17
PBSP,2018,Nov,18
PVSP,2018,Nov,15
RJD,2018,Nov,28
SAC,2018,Nov,47
SATF,2018,Nov,25
SCC,2018,Nov,6
SOL,2018,Nov,13
SQ,2018,Nov,14
SVSP,2018,Nov,43
VSPW,2018,Nov,3
WSP,2018,Nov,20
ASP,2019,Nov,15
CAC,2019,Nov,4
CAL,2019,Nov,18
CCC,2019,Nov,11
CCI,2019,Nov,28
CCWF,2019,Nov,34
CEN,2019,Nov,11
CHCF,2019,Nov,19
CIM,2019,Nov,6
CIW,2019,Nov,4
CMC,2019,Nov,9
CMF,2019,Nov,32
COR,2019,Nov,42
CRC,2019,Nov,5
CTF,2019,Nov,3
CVSP,2019,Nov,3
DVI,2019,Nov,13
FSP,2019,Nov,8
HDSP,2019,Nov,29
ISP,2019,Nov,7
KVSP,2019,Nov,57
LAC,2019,Nov,46
MCSP,2019,Nov,29
NKSP,2019,Nov,17
PBSP,2019,Nov,14
PVSP,2019,Nov,16
RJD,2019,Nov,15
SAC,2019,Nov,59
SATF,2019,Nov,19
SCC,2019,Nov,8
SOL,2019,Nov,12
SQ,2019,Nov,9
SVSP,2019,Nov,47
VSPW,2019,Nov,3
WSP,2019,Nov,33
ASP,2020,Nov,1
CAC,2020,Nov,2
CAL,2020,Nov,8
CCC,2020,Nov,8
CCI,2020,Nov,28
CCWF,2020,Nov,16
CEN,2020,Nov,8
CHCF,2020,Nov,13
CIM,2020,Nov,3
CIW,2020,Nov,3
CMC,2020,Nov,3
CMF,2020,Nov,11
COR,2020,Nov,10
CRC,2020,Nov,5
CTF,2020,Nov,3
CVSP,2020,Nov,1
DVI,2020,Nov,4
FSP,2020,Nov,6
HDSP,2020,Nov,12
ISP,2020,Nov,7
KVSP,2020,Nov,22
LAC,2020,Nov,29
MCSP,2020,Nov,14
NKSP,2020,Nov,18
PBSP,2020,Nov,9
PVSP,2020,Nov,3
RJD,2020,Nov,20
SAC,2020,Nov,45
SATF,2020,Nov,16
SCC,2020,Nov,12
SOL,2020,Nov,10
SQ,2020,Nov,6
SVSP,2020,Nov,40
VSPW,2020,Nov,4
WSP,2020,Nov,9
ASP,2015,Dec,2
CAC,2015,Dec,1
CAL,2015,Dec,19
CCC,2015,Dec,16
CCI,2015,Dec,10
CCWF,2015,Dec,15
CEN,2015,Dec,3
CHCF,2015,Dec,25
CIM,2015,Dec,6
CIW,2015,Dec,20
CMC,2015,Dec,15
CMF,2015,Dec,14
COR,2015,Dec,23
CRC,2015,Dec,3
CTF,2015,Dec,2
CVSP,2015,Dec,1
DVI,2015,Dec,12
FSP,2015,Dec,0
HDSP,2015,Dec,22
ISP,2015,Dec,7
KVSP,2015,Dec,23
LAC,2015,Dec,45
MCSP,2015,Dec,16
NKSP,2015,Dec,19
PBSP,2015,Dec,9
PVSP,2015,Dec,10
RJD,2015,Dec,19
SAC,2015,Dec,48
SATF,2015,Dec,17
SCC,2015,Dec,2
SOL,2015,Dec,5
SQ,2015,Dec,9
SVSP,2015,Dec,37
VSPW,2015,Dec,4
WSP,2015,Dec,21
ASP,2016,Dec,4
CAC,2016,Dec,2
CAL,2016,Dec,19
CCC,2016,Dec,8
CCI,2016,Dec,26
CCWF,2016,Dec,17
CEN,2016,Dec,4
CHCF,2016,Dec,28
CIM,2016,Dec,6
CIW,2016,Dec,11
CMC,2016,Dec,13
CMF,2016,Dec,10
COR,2016,Dec,35
CRC,2016,Dec,5
CTF,2016,Dec,1
CVSP,2016,Dec,0
DVI,2016,Dec,6
FSP,2016,Dec,2
HDSP,2016,Dec,17
ISP,2016,Dec,6
KVSP,2016,Dec,28
LAC,2016,Dec,28
MCSP,2016,Dec,28
NKSP,2016,Dec,23
PBSP,2016,Dec,8
PVSP,2016,Dec,7
RJD,2016,Dec,17
SAC,2016,Dec,56
SATF,2016,Dec,22
SCC,2016,Dec,7
SOL,2016,Dec,9
SQ,2016,Dec,10
SVSP,2016,Dec,28
VSPW,2016,Dec,7
WSP,2016,Dec,19
ASP,2017,Dec,1
CAC,2017,Dec,3
CAL,2017,Dec,17
CCC,2017,Dec,7
CCI,2017,Dec,35
CCWF,2017,Dec,34
CEN,2017,Dec,12
CHCF,2017,Dec,21
CIM,2017,Dec,6
CIW,2017,Dec,9
CMC,2017,Dec,13
CMF,2017,Dec,13
COR,2017,Dec,41
CRC,2017,Dec,8
CTF,2017,Dec,1
CVSP,2017,Dec,1
DVI,2017,Dec,8
FSP,2017,Dec,4
HDSP,2017,Dec,26
ISP,2017,Dec,2
KVSP,2017,Dec,47
LAC,2017,Dec,35
MCSP,2017,Dec,25
NKSP,2017,Dec,15
PBSP,2017,Dec,10
PVSP,2017,Dec,9
RJD,2017,Dec,20
SAC,2017,Dec,30
SATF,2017,Dec,18
SCC,2017,Dec,6
SOL,2017,Dec,5
SQ,2017,Dec,12
SVSP,2017,Dec,32
VSPW,2017,Dec,4
WSP,2017,Dec,16
ASP,2018,Dec,5
CAC,2018,Dec,2
CAL,2018,Dec,10
CCC,2018,Dec,10
CCI,2018,Dec,47
CCWF,2018,Dec,21
CEN,2018,Dec,12
CHCF,2018,Dec,26
CIM,2018,Dec,2
CIW,2018,Dec,9
CMC,2018,Dec,10
CMF,2018,Dec,13
COR,2018,Dec,55
CRC,2018,Dec,12
CTF,2018,Dec,10
CVSP,2018,Dec,2
DVI,2018,Dec,11
FSP,2018,Dec,11
HDSP,2018,Dec,43
ISP,2018,Dec,14
KVSP,2018,Dec,50
LAC,2018,Dec,31
MCSP,2018,Dec,28
NKSP,2018,Dec,13
PBSP,2018,Dec,12
PVSP,2018,Dec,12
RJD,2018,Dec,22
SAC,2018,Dec,40
SATF,2018,Dec,18
SCC,2018,Dec,9
SOL,2018,Dec,13
SQ,2018,Dec,13
SVSP,2018,Dec,55
VSPW,2018,Dec,5
WSP,2018,Dec,24
ASP,2019,Dec,10
CAC,2019,Dec,5
CAL,2019,Dec,21
CCC,2019,Dec,11
CCI,2019,Dec,31
CCWF,2019,Dec,35
CEN,2019,Dec,9
CHCF,2019,Dec,10
CIM,2019,Dec,2
CIW,2019,Dec,13
CMC,2019,Dec,9
CMF,2019,Dec,21
COR,2019,Dec,24
CRC,2019,Dec,12
CTF,2019,Dec,4
CVSP,2019,Dec,2
DVI,2019,Dec,5
FSP,2019,Dec,7
HDSP,2019,Dec,30
ISP,2019,Dec,6
KVSP,2019,Dec,54
LAC,2019,Dec,33
MCSP,2019,Dec,21
NKSP,2019,Dec,28
PBSP,2019,Dec,2
PVSP,2019,Dec,10
RJD,2019,Dec,14
SAC,2019,Dec,6
SATF,2019,Dec,15
SCC,2019,Dec,13
SOL,2019,Dec,24
SQ,2019,Dec,7
SVSP,2019,Dec,49
VSPW,2019,Dec,4
WSP,2019,Dec,22
ASP,2020,Dec,2
CAC,2020,Dec,2
CAL,2020,Dec,5
CCC,2020,Dec,3
CCI,2020,Dec,20
CCWF,2020,Dec,10
CEN,2020,Dec,8
CHCF,2020,Dec,24
CIM,2020,Dec,4
CIW,2020,Dec,2
CMC,2020,Dec,8
CMF,2020,Dec,11
COR,2020,Dec,10
CRC,2020,Dec,6
CTF,2020,Dec,3
CVSP,2020,Dec,0
DVI,2020,Dec,2
FSP,2020,Dec,4
HDSP,2020,Dec,11
ISP,2020,Dec,7
KVSP,2020,Dec,19
LAC,2020,Dec,18
MCSP,2020,Dec,11
NKSP,2020,Dec,22
PBSP,2020,Dec,5
PVSP,2020,Dec,1
RJD,2020,Dec,20
SAC,2020,Dec,48
SATF,2020,Dec,22
SCC,2020,Dec,0
SOL,2020,Dec,3
SQ,2020,Dec,2
SVSP,2020,Dec,30
VSPW,2020,Dec,2
WSP,2020,Dec,14
