Institution,Year,Month,Use of Force
PBSP,2018,Feb,15
PVSP,2018,Feb,8
RJD,2018,Feb,27
SAC,2018,Feb,40
SATF,2018,Feb,16
SCC,2018,Feb,4
SOL,2018,Feb,10
SQ,2018,Feb,17
SVSP,2018,Feb,47
VSPW,2018,Feb,2
WSP,2018,Feb,7
ASP,2019,Feb,2
CAC,2019,Feb,4
CAL,2019,Feb,20
CCC,2019,Feb,7
CCI,2019,Feb,33
CCWF,2019,Feb,18
CEN,2019,Feb,11
CHCF,2019,Feb,20
CIM,2019,Feb,5
CIW,2019,Feb,5
CMC,2019,Feb,9
CMF,2019,Feb,19
COR,2019,Feb,59
CRC,2019,Feb,5
CTF,2019,Feb,3
CVSP,2019,Feb,4
DVI,2019,Feb,16
FSP,2019,Feb,13
HDSP,2019,Feb,23
ISP,2019,Feb,6
KVSP,2019,Feb,59
LAC,2019,Feb,33
MCSP,2019,Feb,24
NKSP,2019,Feb,14
PBSP,2019,Feb,15
PVSP,2019,Feb,11
RJD,2019,Feb,17
SAC,2019,Feb,38
SATF,2019,Feb,19
SCC,2019,Feb,8
SOL,2019,Feb,12
SQ,2019,Feb,6
SVSP,2019,Feb,52
VSPW,2019,Feb,4
WSP,2019,Feb,14
ASP,2020,Feb,10
CAC,2020,Feb,5
CAL,2020,Feb,15
CCC,2020,Feb,9
CCI,2020,Feb,35
CCWF,2020,Feb,29
CEN,2020,Feb,20
CHCF,2020,Feb,31
CIM,2020,Feb,3
CIW,2020,Feb,7
CMC,2020,Feb,9
CMF,2020,Feb,27
COR,2020,Feb,24
CRC,2020,Feb,10
CTF,2020,Feb,4
CVSP,2020,Feb,2
DVI,2020,Feb,8
FSP,2020,Feb,14
HDSP,2020,Feb,41
ISP,2020,Feb,13
KVSP,2020,Feb,57
LAC,2020,Feb,38
MCSP,2020,Feb,21
NKSP,2020,Feb,17
PBSP,2020,Feb,27
PVSP,2020,Feb,16
RJD,2020,Feb,20
SAC,2020,Feb,62
SATF,2020,Feb,21
SCC,2020,Feb,9
SOL,2020,Feb,15
SQ,2020,Feb,13
SVSP,2020,Feb,66
VSPW,2020,Feb,4
WSP,2020,Feb,19
ASP,2015,Mar,3
CAC,2015,Mar,2
CAL,2015,Mar,22
CCC,2015,Mar,11
CCI,2015,Mar,13
CCWF,2015,Mar,11
CEN,2015,Mar,11
CHCF,2015,Mar,18
CIM,2015,Mar,9
CIW,2015,Mar,8
CMC,2015,Mar,10
CMF,2015,Mar,6
COR,2015,Mar,26
CRC,2015,Mar,9
CTF,2015,Mar,6
CVSP,2015,Mar,4
DVI,2015,Mar,12
FSP,2015,Mar,5
HDSP,2015,Mar,28
ISP,2015,Mar,7
KVSP,2015,Mar,21
LAC,2015,Mar,37
MCSP,2015,Mar,23
NKSP,2015,Mar,18
PBSP,2015,Mar,6
PVSP,2015,Mar,11
RJD,2015,Mar,19
SAC,2015,Mar,57
SATF,2015,Mar,14
SCC,2015,Mar,7
SOL,2015,Mar,15
SQ,2015,Mar,3
SVSP,2015,Mar,39
VSPW,2015,Mar,3
WSP,2015,Mar,22
ASP,2016,Mar,6
CAC,2016,Mar,1
CAL,2016,Mar,18
CCC,2016,Mar,5
CCI,2016,Mar,14
CCWF,2016,Mar,9
CEN,2016,Mar,6
CHCF,2016,Mar,23
CIM,2016,Mar,4
CIW,2016,Mar,13
CMC,2016,Mar,9
CMF,2016,Mar,9
COR,2016,Mar,33
CRC,2016,Mar,3
CTF,2016,Mar,6
CVSP,2016,Mar,2
DVI,2016,Mar,9
FSP,2016,Mar,1
HDSP,2016,Mar,23
ISP,2016,Mar,9
KVSP,2016,Mar,36
LAC,2016,Mar,30
MCSP,2016,Mar,21
NKSP,2016,Mar,17
PBSP,2016,Mar,7
PVSP,2016,Mar,6
RJD,2016,Mar,26
SAC,2016,Mar,51
SATF,2016,Mar,21
SCC,2016,Mar,9
SOL,2016,Mar,9
SQ,2016,Mar,12
SVSP,2016,Mar,42
VSPW,2016,Mar,2
WSP,2016,Mar,25
ASP,2017,Mar,2
CAC,2017,Mar,2
CAL,2017,Mar,18
CCC,2017,Mar,9
CCI,2017,Mar,35
CCWF,2017,Mar,22
CEN,2017,Mar,17
CHCF,2017,Mar,20
CIM,2017,Mar,11
CIW,2017,Mar,11
CMC,2017,Mar,7
CMF,2017,Mar,32
COR,2017,Mar,42
CRC,2017,Mar,2
CTF,2017,Mar,4
CVSP,2017,Mar,1
DVI,2017,Mar,9
FSP,2017,Mar,5
HDSP,2017,Mar,13
ISP,2017,Mar,6
KVSP,2017,Mar,37
LAC,2017,Mar,48
MCSP,2017,Mar,25
NKSP,2017,Mar,12
PBSP,2017,Mar,9
PVSP,2017,Mar,10
RJD,2017,Mar,13
SAC,2017,Mar,31
SATF,2017,Mar,22
SCC,2017,Mar,2
SOL,2017,Mar,10
SQ,2017,Mar,10
SVSP,2017,Mar,34
VSPW,2017,Mar,0
WSP,2017,Mar,13
ASP,2018,Mar,3
CAC,2018,Mar,1
CAL,2018,Mar,16
CCC,2018,Mar,5
CCI,2018,Mar,28
CCWF,2018,Mar,20
CEN,2018,Mar,12
CHCF,2018,Mar,40
CIM,2018,Mar,5
CIW,2018,Mar,11
CMC,2018,Mar,14
CMF,2018,Mar,14
COR,2018,Mar,55
CRC,2018,Mar,1
CTF,2018,Mar,2
CVSP,2018,Mar,0
DVI,2018,Mar,11
FSP,2018,Mar,7
HDSP,2018,Mar,23
ISP,2018,Mar,8
KVSP,2018,Mar,51
LAC,2018,Mar,41
MCSP,2018,Mar,29
NKSP,2018,Mar,9
PBSP,2018,Mar,12
PVSP,2018,Mar,15
RJD,2018,Mar,35
SAC,2018,Mar,47
SATF,2018,Mar,22
SCC,2018,Mar,2
SOL,2018,Mar,7
SQ,2018,Mar,11
SVSP,2018,Mar,59
VSPW,2018,Mar,1
WSP,2018,Mar,17
ASP,2019,Mar,9
CAC,2019,Mar,4
CAL,2019,Mar,21
CCC,2019,Mar,12
CCI,2019,Mar,38
CCWF,2019,Mar,38
CEN,2019,Mar,14
CHCF,2019,Mar,28
CIM,2019,Mar,2
CIW,2019,Mar,7
CMC,2019,Mar,12
CMF,2019,Mar,13
COR,2019,Mar,61
CRC,2019,Mar,9
CTF,2019,Mar,7
CVSP,2019,Mar,5
DVI,2019,Mar,11
FSP,2019,Mar,17
HDSP,2019,Mar,24
ISP,2019,Mar,11
KVSP,2019,Mar,58
LAC,2019,Mar,46
MCSP,2019,Mar,28
NKSP,2019,Mar,17
PBSP,2019,Mar,14
PVSP,2019,Mar,8
RJD,2019,Mar,17
SAC,2019,Mar,46
SATF,2019,Mar,18
SCC,2019,Mar,14
SOL,2019,Mar,10
SQ,2019,Mar,7
SVSP,2019,Mar,53
VSPW,2019,Mar,7
WSP,2019,Mar,29
ASP,2020,Mar,8
CAC,2020,Mar,5
CAL,2020,Mar,10
CCC,2020,Mar,10
CCI,2020,Mar,40
CCWF,2020,Mar,23
CEN,2020,Mar,12
CHCF,2020,Mar,37
CIM,2020,Mar,7
CIW,2020,Mar,3
CMC,2020,Mar,16
CMF,2020,Mar,29
COR,2020,Mar,23
CRC,2020,Mar,6
CTF,2020,Mar,5
CVSP,2020,Mar,2
DVI,2020,Mar,6
FSP,2020,Mar,5
HDSP,2020,Mar,39
ISP,2020,Mar,8
KVSP,2020,Mar,46
LAC,2020,Mar,41
MCSP,2020,Mar,18
NKSP,2020,Mar,30
PBSP,2020,Mar,13
PVSP,2020,Mar,10
RJD,2020,Mar,11
SAC,2020,Mar,68
SATF,2020,Mar,22
SCC,2020,Mar,11
SOL,2020,Mar,17
SQ,2020,Mar,5
SVSP,2020,Mar,55
VSPW,2020,Mar,5
WSP,2020,Mar,31
ASP,2015,Apr,4
CAC,2015,Apr,6
CAL,2015,Apr,12
CCC,2015,Apr,16
CCI,2015,Apr,5
CCWF,2015,Apr,10
CEN,2015,Apr,9
CHCF,2015,Apr,22
CIM,2015,Apr,6
CIW,2015,Apr,14
CMC,2015,Apr,5
CMF,2015,Apr,10
COR,2015,Apr,29
CRC,2015,Apr,4
CTF,2015,Apr,1
CVSP,2015,Apr,3
DVI,2015,Apr,9
FSP,2015,Apr,7
HDSP,2015,Apr,15
ISP,2015,Apr,7
KVSP,2015,Apr,27
LAC,2015,Apr,31
MCSP,2015,Apr,24
NKSP,2015,Apr,22
PBSP,2015,Apr,8
PVSP,2015,Apr,8
RJD,2015,Apr,8
SAC,2015,Apr,38
SATF,2015,Apr,17
SCC,2015,Apr,7
SOL,2015,Apr,14
SQ,2015,Apr,12
SVSP,2015,Apr,41
VSPW,2015,Apr,1
WSP,2015,Apr,11
ASP,2016,Apr,5
CAC,2016,Apr,1
CAL,2016,Apr,17
CCC,2016,Apr,11
CCI,2016,Apr,20
CCWF,2016,Apr,15
CEN,2016,Apr,5
CHCF,2016,Apr,25
CIM,2016,Apr,3
CIW,2016,Apr,8
CMC,2016,Apr,13
CMF,2016,Apr,12
COR,2016,Apr,35
CRC,2016,Apr,6
CTF,2016,Apr,2
CVSP,2016,Apr,3
DVI,2016,Apr,4
FSP,2016,Apr,3
HDSP,2016,Apr,29
ISP,2016,Apr,8
KVSP,2016,Apr,31
LAC,2016,Apr,41
MCSP,2016,Apr,20
NKSP,2016,Apr,26
PBSP,2016,Apr,13
PVSP,2016,Apr,11
RJD,2016,Apr,29
SAC,2016,Apr,41
SATF,2016,Apr,12
SCC,2016,Apr,8
SOL,2016,Apr,7
SQ,2016,Apr,7
SVSP,2016,Apr,38
VSPW,2016,Apr,3
WSP,2016,Apr,19
ASP,2017,Apr,2
CAC,2017,Apr,2
CAL,2017,Apr,23
CCC,2017,Apr,6
CCI,2017,Apr,35
CCWF,2017,Apr,25
CEN,2017,Apr,14
CHCF,2017,Apr,26
CIM,2017,Apr,7
CIW,2017,Apr,19
CMC,2017,Apr,16
CMF,2017,Apr,15
COR,2017,Apr,32
CRC,2017,Apr,4
CTF,2017,Apr,6
CVSP,2017,Apr,0
DVI,2017,Apr,7
FSP,2017,Apr,5
HDSP,2017,Apr,13
ISP,2017,Apr,6
KVSP,2017,Apr,24
LAC,2017,Apr,54
MCSP,2017,Apr,26
NKSP,2017,Apr,14
PBSP,2017,Apr,9
PVSP,2017,Apr,7
RJD,2017,Apr,18
SAC,2017,Apr,38
SATF,2017,Apr,12
SCC,2017,Apr,5
SOL,2017,Apr,9
SQ,2017,Apr,11
SVSP,2017,Apr,36
VSPW,2017,Apr,0
WSP,2017,Apr,20
ASP,2018,Apr,2
CAC,2018,Apr,2
CAL,2018,Apr,16
CCC,2018,Apr,11
CCI,2018,Apr,13
CCWF,2018,Apr,40
CEN,2018,Apr,10
CHCF,2018,Apr,22
CIM,2018,Apr,4
CIW,2018,Apr,11
CMC,2018,Apr,7
CMF,2018,Apr,12
COR,2018,Apr,45
CRC,2018,Apr,0
CTF,2018,Apr,2
CVSP,2018,Apr,1
DVI,2018,Apr,13
FSP,2018,Apr,9
HDSP,2018,Apr,23
ISP,2018,Apr,3
KVSP,2018,Apr,40
LAC,2018,Apr,41
MCSP,2018,Apr,22
NKSP,2018,Apr,17
PBSP,2018,Apr,12
PVSP,2018,Apr,14
RJD,2018,Apr,30
SAC,2018,Apr,52
SATF,2018,Apr,30
SCC,2018,Apr,5
SOL,2018,Apr,18
SQ,2018,Apr,12
SVSP,2018,Apr,54
VSPW,2018,Apr,2
WSP,2018,Apr,16
ASP,2019,Apr,7
CAC,2019,Apr,3
CAL,2019,Apr,18
CCC,2019,Apr,7
CCI,2019,Apr,40
CCWF,2019,Apr,40
CEN,2019,Apr,14
CHCF,2019,Apr,19
CIM,2019,Apr,3
CIW,2019,Apr,14
CMC,2019,Apr,16
CMF,2019,Apr,14
COR,2019,Apr,60
CRC,2019,Apr,4
CTF,2019,Apr,3
CVSP,2019,Apr,6
DVI,2019,Apr,12
FSP,2019,Apr,13
HDSP,2019,Apr,38
ISP,2019,Apr,9
KVSP,2019,Apr,57
LAC,2019,Apr,54
MCSP,2019,Apr,29
NKSP,2019,Apr,14
PBSP,2019,Apr,9
PVSP,2019,Apr,14
RJD,2019,Apr,20
SAC,2019,Apr,59
SATF,2019,Apr,24
SCC,2019,Apr,23
SOL,2019,Apr,15
SQ,2019,Apr,9
SVSP,2019,Apr,52
VSPW,2019,Apr,3
WSP,2019,Apr,19
ASP,2020,Apr,8
CAC,2020,Apr,4
CAL,2020,Apr,4
CCC,2020,Apr,9
CCI,2020,Apr,35
CCWF,2020,Apr,31
CEN,2020,Apr,5
CHCF,2020,Apr,24
CIM,2020,Apr,7
CIW,2020,Apr,8
CMC,2020,Apr,12
CMF,2020,Apr,15
COR,2020,Apr,21
CRC,2020,Apr,6
CTF,2020,Apr,1
CVSP,2020,Apr,3
DVI,2020,Apr,8
FSP,2020,Apr,7
HDSP,2020,Apr,29
ISP,2020,Apr,11
KVSP,2020,Apr,66
LAC,2020,Apr,25
MCSP,2020,Apr,15
NKSP,2020,Apr,21
PBSP,2020,Apr,12
PVSP,2020,Apr,6
RJD,2020,Apr,14
SAC,2020,Apr,47
SATF,2020,Apr,25
SCC,2020,Apr,5
SOL,2020,Apr,8
SQ,2020,Apr,10
SVSP,2020,Apr,45
VSPW,2020,Apr,2
WSP,2020,Apr,10
ASP,2015,May,6
CAC,2015,May,3
CAL,2015,May,24
CCC,2015,May,14
CCI,2015,May,12
CCWF,2015,May,4
CEN,2015,May,14
CHCF,2015,May,17
CIM,2015,May,13
CIW,2015,May,13
CMC,2015,May,11
CMF,2015,May,5
COR,2015,May,40
CRC,2015,May,1
CTF,2015,May,2
CVSP,2015,May,0
DVI,2015,May,6
FSP,2015,May,5
HDSP,2015,May,24
ISP,2015,May,5
KVSP,2015,May,25
LAC,2015,May,33
MCSP,2015,May,26
NKSP,2015,May,15
PBSP,2015,May,11
PVSP,2015,May,6
RJD,2015,May,13
SAC,2015,May,58
SATF,2015,May,15
SCC,2015,May,8
SOL,2015,May,17
SQ,2015,May,9
SVSP,2015,May,36
VSPW,2015,May,2
WSP,2015,May,20
ASP,2016,May,2
CAC,2016,May,0
CAL,2016,May,26
CCC,2016,May,12
CCI,2016,May,24
CCWF,2016,May,18
CEN,2016,May,10
CHCF,2016,May,23
CIM,2016,May,3
CIW,2016,May,23
CMC,2016,May,16
CMF,2016,May,20
COR,2016,May,33
CRC,2016,May,6
CTF,2016,May,3
CVSP,2016,May,1
DVI,2016,May,10
FSP,2016,May,2
HDSP,2016,May,24
ISP,2016,May,6
KVSP,2016,May,34
LAC,2016,May,29
MCSP,2016,May,35
NKSP,2016,May,25
PBSP,2016,May,7
PVSP,2016,May,10
RJD,2016,May,26
SAC,2016,May,46
SATF,2016,May,21
SCC,2016,May,5
SOL,2016,May,9
SQ,2016,May,9
SVSP,2016,May,43
VSPW,2016,May,4
WSP,2016,May,21
ASP,2017,May,6
CAC,2017,May,1
CAL,2017,May,25
CCC,2017,May,8
CCI,2017,May,30
CCWF,2017,May,31
CEN,2017,May,7
CHCF,2017,May,16
CIM,2017,May,4
CIW,2017,May,4
CMC,2017,May,15
CMF,2017,May,15
COR,2017,May,40
CRC,2017,May,4
CTF,2017,May,2
CVSP,2017,May,0
DVI,2017,May,11
FSP,2017,May,6
HDSP,2017,May,18
ISP,2017,May,8
KVSP,2017,May,41
LAC,2017,May,48
MCSP,2017,May,23
NKSP,2017,May,16
PBSP,2017,May,11
PVSP,2017,May,8
RJD,2017,May,21
SAC,2017,May,53
SATF,2017,May,14
SCC,2017,May,5
SOL,2017,May,18
SQ,2017,May,19
SVSP,2017,May,33
VSPW,2017,May,4
WSP,2017,May,26
ASP,2018,May,5
CAC,2018,May,2
CAL,2018,May,12
CCC,2018,May,7
CCI,2018,May,31
CCWF,2018,May,34
CEN,2018,May,10
CHCF,2018,May,26
CIM,2018,May,7
CIW,2018,May,10
CMC,2018,May,14
CMF,2018,May,11
COR,2018,May,50
CRC,2018,May,5
CTF,2018,May,3
CVSP,2018,May,1
DVI,2018,May,6
FSP,2018,May,9
HDSP,2018,May,29
ISP,2018,May,5
KVSP,2018,May,49
LAC,2018,May,56
MCSP,2018,May,31
NKSP,2018,May,11
PBSP,2018,May,13
PVSP,2018,May,14
RJD,2018,May,27
SAC,2018,May,61
SATF,2018,May,17
SCC,2018,May,4
SOL,2018,May,10
SQ,2018,May,17
SVSP,2018,May,44
VSPW,2018,May,1
WSP,2018,May,20
ASP,2019,May,11
CAC,2019,May,2
CAL,2019,May,20
CCC,2019,May,17
CCI,2019,May,57
CCWF,2019,May,26
CEN,2019,May,12
CHCF,2019,May,25
CIM,2019,May,10
CIW,2019,May,10
CMC,2019,May,14
CMF,2019,May,27
COR,2019,May,54
CRC,2019,May,14
CTF,2019,May,9
CVSP,2019,May,8
DVI,2019,May,19
FSP,2019,May,26
HDSP,2019,May,29
ISP,2019,May,4
KVSP,2019,May,58
LAC,2019,May,62
MCSP,2019,May,33
NKSP,2019,May,14
PBSP,2019,May,14
PVSP,2019,May,16
RJD,2019,May,22
SAC,2019,May,51
SATF,2019,May,25
SCC,2019,May,34
SOL,2019,May,19
SQ,2019,May,12
SVSP,2019,May,50
VSPW,2019,May,5
WSP,2019,May,22
ASP,2020,May,5
CAC,2020,May,7
CAL,2020,May,9
CCC,2020,May,7
CCI,2020,May,38
CCWF,2020,May,25
CEN,2020,May,7
CHCF,2020,May,23
CIM,2020,May,5
CIW,2020,May,5
CMC,2020,May,12
CMF,2020,May,10
COR,2020,May,26
CRC,2020,May,5
CTF,2020,May,5
CVSP,2020,May,0
DVI,2020,May,6
FSP,2020,May,3
HDSP,2020,May,33
ISP,2020,May,13
KVSP,2020,May,31
LAC,2020,May,35
MCSP,2020,May,22
NKSP,2020,May,14
PBSP,2020,May,11
PVSP,2020,May,10
RJD,2020,May,8
SAC,2020,May,77
SATF,2020,May,14
SCC,2020,May,10
SOL,2020,May,15
SQ,2020,May,8
SVSP,2020,May,45
VSPW,2020,May,10
WSP,2020,May,22
ASP,2015,Jun,2
CAC,2015,Jun,1
CAL,2015,Jun,23
CCC,2015,Jun,13
CCI,2015,Jun,14
CCWF,2015,Jun,8
CEN,2015,Jun,9
CHCF,2015,Jun,15
CIM,2015,Jun,8
CIW,2015,Jun,10
CMC,2015,Jun,11
CMF,2015,Jun,13
COR,2015,Jun,20
CRC,2015,Jun,8
CTF,2015,Jun,5
CVSP,2015,Jun,2
DVI,2015,Jun,8
FSP,2015,Jun,7
HDSP,2015,Jun,23
ISP,2015,Jun,9
KVSP,2015,Jun,23
LAC,2015,Jun,36
MCSP,2015,Jun,25
NKSP,2015,Jun,21
PBSP,2015,Jun,17
PVSP,2015,Jun,8
RJD,2015,Jun,18
SAC,2015,Jun,41
SATF,2015,Jun,15
SCC,2015,Jun,7
SOL,2015,Jun,10
