Institution,Year,Month,Use of Force,Inmate Count
HDSP,2011,Apr,16,4205
KVSP,2011,Apr,24,4613
MCSP,2011,Apr,9,3550
PBSP,2011,Apr,22,3155
SAC,2011,Apr,35,2839
SATF,2011,Apr,18,6168
SVSP,2011,Apr,39,3811
CIM,2011,Apr,25,5836
DVI,2011,Apr,17,3826
LAC,2011,Apr,44,4353
NKSP,2011,Apr,31,4963
RJD,2011,Apr,38,4363
SQ,2011,Apr,28,4837
WSP,2011,Apr,42,5755
CCI,2012,Apr,12,4636
COR,2012,Apr,29,4558
HDSP,2012,Apr,32,3722
KVSP,2012,Apr,38,4179
LAC,2012,Apr,31,3936
PBSP,2012,Apr,13,3078
SAC,2012,Apr,40,2750
SATF,2012,Apr,20,5712
SVSP,2012,Apr,40,3538
CCI,2013,Apr,15,4590
COR,2013,Apr,25,4421
HDSP,2013,Apr,18,3360
KVSP,2013,Apr,33,3702
LAC,2013,Apr,35,3758
PBSP,2013,Apr,18,2872
SAC,2013,Apr,35,2240
SATF,2013,Apr,17,5517
SVSP,2013,Apr,40,3497
CCI,2014,Apr,10,4403
COR,2014,Apr,25,4339
HDSP,2014,Apr,10,3318
KVSP,2014,Apr,27,3792
LAC,2014,Apr,38,3572
PBSP,2014,Apr,10,2768
SAC,2014,Apr,26,2253
SATF,2014,Apr,17,5447
SVSP,2014,Apr,37,3358
CAL,2009,May,16,4198
CEN,2009,May,19,4688
CMC,2009,May,14,6516
CMF,2009,May,12,2843
MCSP,2009,May,18,3857
PVSP,2009,May,16,5001
SATF,2009,May,17,6961
CCI,2009,May,22,5226
COR,2009,May,14,5413
HDSP,2009,May,40,4493
KVSP,2009,May,36,4816
PBSP,2009,May,25,3337
SAC,2009,May,41,2907
SVSP,2009,May,43,4208
CIM,2009,May,26,5963
DVI,2009,May,18,3901
LAC,2009,May,34,4602
NKSP,2009,May,29,5351
RJD,2009,May,43,4790
SQ,2009,May,28,5204
WSP,2009,May,36,5959
CCI,2010,May,25,5856
COR,2010,May,23,5239
HDSP,2010,May,40,4501
KVSP,2010,May,31,4831
PBSP,2010,May,28,3320
SAC,2010,May,35,2927
SVSP,2010,May,29,3797
CIM,2010,May,26,5081
DVI,2010,May,15,3893
LAC,2010,May,36,4530
NKSP,2010,May,24,5483
RJD,2010,May,46,4603
SQ,2010,May,14,4893
WSP,2010,May,45,5855
CAL,2010,May,19,4212
CEN,2010,May,8,4436
CMC,2010,May,12,6682
CMF,2010,May,9,2587
MCSP,2010,May,13,3774
PVSP,2010,May,11,4660
SATF,2010,May,15,6664
CAL,2011,May,17,4174
CCI,2011,May,31,5729
CEN,2011,May,9,4197
COR,2011,May,23,4955
HDSP,2011,May,34,4223
KVSP,2011,May,40,4628
MCSP,2011,May,19,3560
PBSP,2011,May,20,3082
SAC,2011,May,40,2840
SATF,2011,May,16,6383
SVSP,2011,May,58,3823
CIM,2011,May,21,5909
DVI,2011,May,23,3820
LAC,2011,May,36,4320
NKSP,2011,May,30,5050
RJD,2011,May,49,4311
SQ,2011,May,28,4667
WSP,2011,May,43,5840
CCI,2012,May,15,4557
COR,2012,May,36,4658
HDSP,2012,May,39,3754
KVSP,2012,May,30,4196
LAC,2012,May,46,3950
PBSP,2012,May,22,3113
SAC,2012,May,26,2700
SATF,2012,May,10,5632
SVSP,2012,May,52,3534
CCI,2013,May,14,4592
COR,2013,May,28,4394
HDSP,2013,May,20,3295
KVSP,2013,May,32,3715
LAC,2013,May,48,3743
PBSP,2013,May,20,2860
SAC,2013,May,38,2202
SATF,2013,May,14,5542
SVSP,2013,May,45,3475
CCI,2014,May,17,4420
COR,2014,May,25,4352
HDSP,2014,May,28,3313
KVSP,2014,May,32,3855
LAC,2014,May,41,3562
PBSP,2014,May,11,2789
SAC,2014,May,44,2247
SATF,2014,May,18,5416
SVSP,2014,May,44,3352
CAL,2009,Jun,28,4274
CEN,2009,Jun,9,4491
CMC,2009,Jun,8,6465
CMF,2009,Jun,20,2796
MCSP,2009,Jun,9,3820
PVSP,2009,Jun,14,4989
SATF,2009,Jun,14,7027
CCI,2009,Jun,20,5354
COR,2009,Jun,15,5409
HDSP,2009,Jun,32,4404
KVSP,2009,Jun,19,4733
PBSP,2009,Jun,14,3258
SAC,2009,Jun,38,2858
SVSP,2009,Jun,48,4212
CIM,2009,Jun,27,6018
DVI,2009,Jun,25,3875
LAC,2009,Jun,28,4448
NKSP,2009,Jun,27,5398
RJD,2009,Jun,45,4754
SQ,2009,Jun,19,5158
WSP,2009,Jun,29,5882
CCI,2010,Jun,19,5925
COR,2010,Jun,15,5191
HDSP,2010,Jun,48,4470
KVSP,2010,Jun,38,4762
PBSP,2010,Jun,13,3309
SAC,2010,Jun,43,2923
SVSP,2010,Jun,27,3759
CIM,2010,Jun,23,4808
DVI,2010,Jun,25,3888
LAC,2010,Jun,37,4503
NKSP,2010,Jun,29,5340
RJD,2010,Jun,47,4703
SQ,2010,Jun,18,4866
WSP,2010,Jun,48,5870
CAL,2010,Jun,19,4087
CEN,2010,Jun,10,4422
CMC,2010,Jun,11,6679
CMF,2010,Jun,14,2585
MCSP,2010,Jun,19,3785
PVSP,2010,Jun,17,4609
SATF,2010,Jun,19,6808
CAL,2011,Jun,13,4146
CCI,2011,Jun,33,5626
CEN,2011,Jun,18,4183
COR,2011,Jun,16,4982
HDSP,2011,Jun,29,4255
KVSP,2011,Jun,46,4680
MCSP,2011,Jun,14,3561
PBSP,2011,Jun,20,3134
SAC,2011,Jun,38,2850
SATF,2011,Jun,24,6414
SVSP,2011,Jun,37,3879
CIM,2011,Jun,24,6075
DVI,2011,Jun,20,3720
LAC,2011,Jun,34,4322
NKSP,2011,Jun,22,5077
RJD,2011,Jun,40,4423
SQ,2011,Jun,17,4831
WSP,2011,Jun,42,5848
CCI,2012,Jun,18,4607
COR,2012,Jun,26,4657
HDSP,2012,Jun,30,3734
KVSP,2012,Jun,35,4186
LAC,2012,Jun,36,3938
PBSP,2012,Jun,28,3177
SAC,2012,Jun,53,2720
SATF,2012,Jun,13,5550
SVSP,2012,Jun,49,3560
CCI,2013,Jun,12,4579
COR,2013,Jun,25,4423
HDSP,2013,Jun,21,3261
KVSP,2013,Jun,37,3685
LAC,2013,Jun,24,3679
PBSP,2013,Jun,18,2831
SAC,2013,Jun,35,2181
SATF,2013,Jun,16,5576
SVSP,2013,Jun,49,3487
CCI,2014,Jun,13,4395
COR,2014,Jun,24,4287
HDSP,2014,Jun,28,3307
KVSP,2014,Jun,19,3847
LAC,2014,Jun,39,3560
PBSP,2014,Jun,13,2821
SAC,2014,Jun,32,2262
SATF,2014,Jun,15,5362
SVSP,2014,Jun,42,3357
CAL,2009,Jul,21,4255
CEN,2009,Jul,11,4522
CMC,2009,Jul,16,6441
CMF,2009,Jul,6,2712
MCSP,2009,Jul,12,3739
PVSP,2009,Jul,14,4959
SATF,2009,Jul,23,6911
CCI,2009,Jul,24,5559
COR,2009,Jul,20,5426
HDSP,2009,Jul,25,4457
KVSP,2009,Jul,29,4701
PBSP,2009,Jul,18,3235
SAC,2009,Jul,35,2889
SVSP,2009,Jul,43,4045
CIM,2009,Jul,21,5851
DVI,2009,Jul,20,3940
LAC,2009,Jul,34,4608
NKSP,2009,Jul,27,5397
RJD,2009,Jul,51,4797
SQ,2009,Jul,24,5171
WSP,2009,Jul,28,5983
CCI,2010,Jul,18,5970
COR,2010,Jul,17,5216
HDSP,2010,Jul,34,4474
KVSP,2010,Jul,43,4580
PBSP,2010,Jul,19,3283
SAC,2010,Jul,32,2905
SVSP,2010,Jul,43,3666
CIM,2010,Jul,29,4593
DVI,2010,Jul,20,3848
LAC,2010,Jul,41,4597
NKSP,2010,Jul,25,5236
RJD,2010,Jul,48,4662
SQ,2010,Jul,21,5085
WSP,2010,Jul,48,5865
CAL,2010,Jul,31,4119
CEN,2010,Jul,11,4348
CMC,2010,Jul,15,6692
CMF,2010,Jul,9,2616
MCSP,2010,Jul,15,3777
PVSP,2010,Jul,21,4655
SATF,2010,Jul,15,6662
CAL,2011,Jul,16,4253
